ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:1903825,organic acid transmembrane transport,17/877,48/6449,0.3541666666666667,2.6043567084758648,4.425928532334819,1.077097689541673e-4,0.0016547177250115703,0.0014327955849527518,YCL025C/YJR095W/YOR348C/YKL217W/YGR260W/YEL063C/YGR243W/YGR191W/YMR241W/YER119C/YOR222W/YAR035W/YNR002C/YJL193W/YHL036W/YDR508C/YGR055W,17
GO:1905039,carboxylic acid transmembrane transport,17/877,48/6449,0.3541666666666667,2.6043567084758648,4.425928532334819,1.077097689541673e-4,0.0016547177250115703,0.0014327955849527518,YCL025C/YJR095W/YOR348C/YKL217W/YGR260W/YEL063C/YGR243W/YGR191W/YMR241W/YER119C/YOR222W/YAR035W/YNR002C/YJL193W/YHL036W/YDR508C/YGR055W,17
GO:1902653,secondary alcohol biosynthetic process,15/877,40/6449,0.375,2.7575541619156216,4.423340119956407,1.2997381655353664e-4,0.0019773686460135137,0.001712174241568817,YGR087C/YLR044C/YAL060W/YAL061W/YML087C/YGR060W/YML075C/YHR190W/YGR175C/YLR134W/YMR015C/YGL001C/YPL028W/YGL012W/YMR070W,15
GO:0015695,organic cation transport,15/877,41/6449,0.36585365853658536,2.6902967433323135,4.307253065337421,1.7956388087138626e-4,0.0027055442435140603,0.002342690712988025,YOR273C/YDL210W/YCL025C/YOR317W/YLR237W/YOR348C/YEL063C/YGR191W/YER119C/YBR069C/YHL036W/YOR071C/YDR508C/YPL274W/YGR055W,15
GO:0046395,carboxylic acid catabolic process,28/877,105/6449,0.26666666666666666,1.9609274040288864,3.938314536899801,2.571149363901647e-4,0.00383713433641322,0.0033225178246308,YGR087C/YPL095C/YKR009C/YOL086C/YMR250W/YLR044C/YAL012W/YPL111W/YCL064C/YGR019W/YLR231C/YPR006C/YER010C/YJR148W/YGL205W/YDR380W/YLR142W/YEL020C/YPR001W/YLR134W/YHR208W/YLR438W/YPL028W/YJR019C/YJR078W/YPL275W/YIL160C/YDL219W,28
GO:0046164,alcohol catabolic process,10/877,22/6449,0.45454545454545453,3.3424898932310563,4.366079843055117,2.820503629597354e-4,0.00416955583733873,0.0036103566817785393,YOL086C/YAL060W/YMR170C/YPL061W/YOL055C/YHL032C/YML070W/YDR050C/YIL155C/YFL053W,10
GO:0006099,tricarboxylic acid cycle,12/877,30/6449,0.4,2.94139110604333,4.228114428455203,3.039417029032787e-4,0.00442845033419116,0.003834529594446247,YPL262W/YNR001C/YOL126C/YMR118C/YLR174W/YLR164W/YNL037C/YER065C/YPR001W/YJL200C/YFR049W/YLR304C,12
GO:0016054,organic acid catabolic process,28/877,106/6449,0.2641509433962264,1.9424280888965384,3.8811511440557536,3.0521546655561284e-4,0.00442845033419116,0.003834529594446247,YGR087C/YPL095C/YKR009C/YOL086C/YMR250W/YLR044C/YAL012W/YPL111W/YCL064C/YGR019W/YLR231C/YPR006C/YER010C/YJR148W/YGL205W/YDR380W/YLR142W/YEL020C/YPR001W/YLR134W/YHR208W/YLR438W/YPL028W/YJR019C/YJR078W/YPL275W/YIL160C/YDL219W,28
GO:0009142,nucleoside triphosphate biosynthetic process,12/877,31/6449,0.3870967741935484,2.846507521977416,4.088263023343871,4.353267505972743e-4,0.006138983269014737,0.005315654743398378,YKL016C/YJL116C/YLR295C/YJR121W/YPL271W/YML081C-A/YDR322C-A/YPR020W/YDL004W/YOL077W-A/YJR103W/YNR012W,12
GO:0019751,polyol metabolic process,15/877,44/6449,0.3409090909090909,2.506867419923292,3.978767588584168,4.3791708576978284e-4,0.006138983269014737,0.005315654743398378,YNR073C/YIL053W/YAL060W/YAL061W/YPL201C/YOL059W/YER062C/YHL032C/YML070W/YDR050C/YDL022W/YIL155C/YEL070W/YHR079C/YFL053W,15
GO:0009145,purine nucleoside triphosphate biosynthetic process,10/877,23/6449,0.43478260869565216,3.1971642456992715,4.1875773082170085,4.3877863824483125e-4,0.006138983269014737,0.005315654743398378,YKL016C/YJL116C/YLR295C/YJR121W/YPL271W/YML081C-A/YDR322C-A/YPR020W/YDL004W/YOL077W-A,10
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,10/877,23/6449,0.43478260869565216,3.1971642456992715,4.1875773082170085,4.3877863824483125e-4,0.006138983269014737,0.005315654743398378,YKL016C/YJL116C/YLR295C/YJR121W/YPL271W/YML081C-A/YDR322C-A/YPR020W/YDL004W/YOL077W-A,10
GO:0006081,aldehyde metabolic process,16/877,49/6449,0.32653061224489793,2.401135596770065,3.905664883994067,4.946533885939992e-4,0.006859485486077847,0.005939526948278202,YDL243C/YOL126C/YLR174W/YOR391C/YCL018W/YER065C/YDR050C/YCR107W/YBR117C/YGR043C/YJL200C/YPR074C/YLR304C/YNL331C/YOR095C/YFL059W,16
GO:0006094,gluconeogenesis,13/877,36/6449,0.3611111111111111,2.655422526289117,3.9512658250800294,5.579627816079922e-4,0.007669541041927401,0.006640942063644524,YKR097W/YJL052W/YLR377C/YOL126C/YKL152C/YCR012W/YKL060C/YBR196C/YGL062W/YJR009C/YHR174W/YDR050C/YBR239C,13
GO:0009636,response to toxic substance,19/877,64/6449,0.296875,2.1830637115165334,3.7733268568046823,5.929652411681727e-4,0.008079795938352405,0.006996175705865214,YGR088W/YHR055C/YDR406W/YKL071W/YKR076W/YOR391C/YHR008C/YGR234W/YER132C/YLR364W/YDR011W/YOL002C/YKR066C/YOR153W/YDR338C/YDR513W/YLR109W/YNL229C/YAR028W,19
GO:0006119,oxidative phosphorylation,14/877,41/6449,0.34146341463414637,2.51094362711016,3.8502213265773264,6.634953157874386e-4,0.008962906550335485,0.007760848112976482,YMR118C/YJL116C/YLR164W/YJR121W/YPL271W/YLR038C/YIL111W/YDR529C/YJR048W/YDL067C/YJL166W/YNL052W/YLR395C/YMR256C,14
GO:0007007,inner mitochondrial membrane organization,13/877,37/6449,0.35135135135135137,2.583654349902925,3.8324037849850305,7.548048556443012e-4,0.010109224006791623,0.008753427430728782,YLR295C/YLR168C/YHR005C-A/YFR011C/YDR322C-A/YPR020W/YBR185C/YBR262C/YBR091C/YGR181W/YEL020W-A/YJR135W-A/YPL098C,13
GO:0009083,branched-chain amino acid catabolic process,8/877,17/6449,0.47058823529411764,3.4604601247568585,4.0297168480736385,8.831259813838767e-4,0.011727613668038431,0.010154767082995694,YGR087C/YOL086C/YLR044C/YJR148W/YDR380W/YLR134W/YHR208W/YDL219W,8
GO:0071852,fungal-type cell wall organization or biogenesis,45/877,211/6449,0.2132701421800948,1.568277248482818,3.3295502112081397,0.0011324363722937229,0.014911998280540031,0.012912078583694019,YJL034W/YOR247W/YDR077W/YJL116C/YIL119C/YJL158C/YJL159W/YHL027W/YGR023W/YKL096W/YDR293C/YJR151C/YLR300W/YCR032W/YGR143W/YJR066W/YKL164C/YOL109W/YGR189C/YMR215W/YGR225W/YHR102W/YHR139C/YBR043C/YOR009W/YKL129C/YHR079C/YJL083W/YOR010C/YDL239C/YER075C/YDR273W/YKR019C/YDL049C/YKL096W-A/YDR144C/YER033C/YNL194C/YER011W/YJR150C/YOL132W/YDR523C/YIL123W/YLR194C/YCR045C,45
GO:0006790,sulfur compound metabolic process,36/877,159/6449,0.22641509433962265,1.6649383619113187,3.3679170446049347,0.0011430698881617412,0.01492658762291207,0.012924711279302496,YNR001C/YLR303W/YAL012W/YMR170C/YKR076W/YER052C/YHR205W/YLR231C/YOR317W/YPR167C/YOL055C/YML075C/YKL001C/YMR169C/YMR009W/YGR144W/YJR148W/YDR380W/YJR010W/YMR207C/YLL062C/YBR240C/YGL126W/YDR135C/YHR208W/YJR019C/YIR017C/YJR078W/YJR137C/YOL049W/YPL214C/YDR513W/YPR121W/YLL060C/YKL215C/YFL059W,36
GO:0006550,L-isoleucine catabolic process,7/877,14/6449,0.5,3.676738882554162,3.977429650987011,0.001205917186082578,0.015617125872656196,0.013522638128407509,YGR087C/YOL086C/YLR044C/YJR148W/YDR380W/YLR134W/YHR208W,7
GO:0031505,fungal-type cell wall organization,41/877,189/6449,0.21693121693121692,1.595198880261594,3.2946751343267775,0.0013129425328023184,0.016752199451244565,0.014505481538746005,YOR247W/YDR077W/YJL116C/YJL158C/YJL159W/YGR023W/YKL096W/YDR293C/YJR151C/YLR300W/YCR032W/YGR143W/YJR066W/YKL164C/YOL109W/YGR189C/YMR215W/YGR225W/YHR102W/YHR139C/YBR043C/YOR009W/YKL129C/YHR079C/YJL083W/YOR010C/YDL239C/YDR273W/YKR019C/YDL049C/YKL096W-A/YDR144C/YER033C/YNL194C/YER011W/YJR150C/YOL132W/YDR523C/YIL123W/YLR194C/YCR045C,41
GO:0006631,fatty acid metabolic process,20/877,73/6449,0.273972602739726,2.014651442495431,3.458684201910525,0.0013185663551923933,0.016752199451244565,0.014505481538746005,YPL095C/YGL055W/YPR002W/YKR009C/YOR317W/YMR272C/YPR006C/YGL205W/YLR372W/YEL020C/YPR001W/YMR207C/YOL002C/YHR067W/YER061C/YJR019C/YAR035W/YCL026C-A/YIL160C/YCR034W,20
GO:0019319,hexose biosynthetic process,13/877,39/6449,0.3333333333333333,2.451159255036108,3.6059950143522297,0.001325636714712397,0.016752199451244565,0.014505481538746005,YKR097W/YJL052W/YLR377C/YOL126C/YKL152C/YCR012W/YKL060C/YBR196C/YGL062W/YJR009C/YHR174W/YDR050C/YBR239C,13
GO:0006067,ethanol metabolic process,8/877,18/6449,0.4444444444444444,3.268212340048144,3.822851815129433,0.0014019474760990644,0.017435330913073286,0.01509699495983036,YGR087C/YMR145C/YOL086C/YLR044C/YMR170C/YPL061W/YLR134W/YDL085W,8
GO:0006536,glutamate metabolic process,8/877,18/6449,0.4444444444444444,3.268212340048144,3.822851815129433,0.0014019474760990644,0.017435330913073286,0.01509699495983036,YMR250W/YGR019W/YLR174W/YPR035W/YNL037C/YOR375C/YLR142W/YLR438W,8
GO:0045787,positive regulation of cell cycle,22/877,84/6449,0.2619047619047619,1.9259108432426564,3.388569256885613,0.0014782796581047,0.01823987578149657,0.015793638452523486,YHL027W/YFL033C/YGR225W/YIL072W/YGL116W/YMR001C/YPL017C/YPL256C/YMR199W/YGR108W/YGR113W/YHR152W/YBL046W/YPR119W/YDR523C/YDR201W/YKR083C/YML064C/YGL086W/YBR233W-A/YGR109C/YOR195W,22
GO:0042407,cristae formation,6/877,11/6449,0.5454545454545454,4.010987871877267,3.964940001144117,0.001560775946988112,0.0189591930924835,0.01641648466477092,YLR295C/YLR168C/YFR011C/YDR322C-A/YPR020W/YBR262C,6
GO:0046174,polyol catabolic process,6/877,11/6449,0.5454545454545454,4.010987871877267,3.964940001144117,0.001560775946988112,0.0189591930924835,0.01641648466477092,YAL060W/YHL032C/YML070W/YDR050C/YIL155C/YFL053W,6
GO:0046364,monosaccharide biosynthetic process,13/877,40/6449,0.325,2.3898802736602054,3.497993580872833,0.0017240078861502745,0.020780925827672925,0.01799389607488019,YKR097W/YJL052W/YLR377C/YOL126C/YKL152C/YCR012W/YKL060C/YBR196C/YGL062W/YJR009C/YHR174W/YDR050C/YBR239C,13
GO:0044272,sulfur compound biosynthetic process,24/877,96/6449,0.25,1.838369441277081,3.2831323156838286,0.0018418178226184394,0.022031515481244997,0.019076763144677933,YLR303W/YAL012W/YMR170C/YER052C/YHR205W/YPR167C/YOL055C/YKL001C/YMR169C/YMR009W/YGR144W/YJR148W/YDR380W/YJR010W/YMR207C/YLL062C/YBR240C/YHR208W/YIR017C/YJR137C/YOL049W/YPL214C/YPR121W/YFL059W,24
GO:0005984,disaccharide metabolic process,10/877,27/6449,0.37037037037037035,2.723510283373453,3.5601423856318517,0.0019377973440273884,0.023004003318870588,0.019918825968511192,YDR074W/YKL035W/YBR299W/YPR026W/YBR126C/YML100W/YIL162W/YBR297W/YGR287C/YGR292W,10
GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",7/877,15/6449,0.4666666666666667,3.431622957050551,3.740314263082476,0.00199791422294733,0.023539335243296735,0.020382361957887677,YLR038C/YIL111W/YJR048W/YDL067C/YNL052W/YLR395C/YMR256C,7
GO:0016053,organic acid biosynthetic process,42/877,200/6449,0.21,1.544230330672748,3.1016960332284182,0.0022299640824219296,0.025884101608556767,0.02241266044633035,YPL095C/YGL055W/YLR303W/YEL071W/YAL012W/YMR170C/YGL062W/YLR174W/YPR035W/YER052C/YLR231C/YOR391C/YPL061W/YPR167C/YCL018W/YMR272C/YNL037C/YKL001C/YMR169C/YOR375C/YMR009W/YOL058W/YJR148W/YLR372W/YDR354W/YGR124W/YJR010W/YJL200C/YMR207C/YGL148W/YLL062C/YIL074C/YER055C/YBR084W/YHR208W/YHR067W/YLR438W/YER061C/YJR019C/YIR017C/YJR137C/YCR034W,42
GO:0046394,carboxylic acid biosynthetic process,42/877,200/6449,0.21,1.544230330672748,3.1016960332284182,0.0022299640824219296,0.025884101608556767,0.02241266044633035,YPL095C/YGL055W/YLR303W/YEL071W/YAL012W/YMR170C/YGL062W/YLR174W/YPR035W/YER052C/YLR231C/YOR391C/YPL061W/YPR167C/YCL018W/YMR272C/YNL037C/YKL001C/YMR169C/YOR375C/YMR009W/YOL058W/YJR148W/YLR372W/YDR354W/YGR124W/YJR010W/YJL200C/YMR207C/YGL148W/YLL062C/YIL074C/YER055C/YBR084W/YHR208W/YHR067W/YLR438W/YER061C/YJR019C/YIR017C/YJR137C/YCR034W,42
GO:0006979,response to oxidative stress,28/877,120/6449,0.23333333333333334,1.7158114785252756,3.13999163214066,0.0024524715897194173,0.028257521919781814,0.024467769962448364,YGR088W/YNL036W/YHR055C/YMR250W/YJR096W/YJR138W/YKL062W/YHR205W/YHR008C/YGR234W/YOR173W/YGR023W/YOL052C-A/YFL033C/YJR066W/YKR071C/YHR104W/YGR043C/YHR183W/YCL026C-B/YKR066C/YNL241C/YDR513W/YLR109W/YCL033C/YDR222W/YCL026C-A/YDL166C,28
GO:0090068,positive regulation of cell cycle process,21/877,82/6449,0.25609756097560976,1.8832077203326194,3.193074967863295,0.0025307371095318874,0.02894646022362385,0.02506431144207916,YHL027W/YFL033C/YGR225W/YIL072W/YGL116W/YMR001C/YPL256C/YMR199W/YGR108W/YGR113W/YHR152W/YBL046W/YPR119W/YDR523C/YDR201W/YKR083C/YML064C/YGL086W/YBR233W-A/YGR109C/YOR195W,21
GO:0006835,dicarboxylic acid transport,6/877,12/6449,0.5,3.676738882554162,3.6818122065755596,0.002764790594040388,0.0313943975424731,0.02718394413209809,YJR095W/YPL265W/YGR260W/YMR241W/YER119C/YOR222W,6
GO:0098754,detoxification,16/877,57/6449,0.2807017543859649,2.064134109504091,3.2012689778212056,0.0029782390233832135,0.03333500392601068,0.02886428647474408,YGR088W/YHR055C/YDR406W/YKL071W/YKR076W/YOR391C/YHR008C/YER132C/YLR364W/YDR011W/YKR066C/YOR153W/YDR338C/YDR513W/YLR109W/YNL229C,16
GO:0170035,L-amino acid catabolic process,16/877,57/6449,0.2807017543859649,2.064134109504091,3.2012689778212056,0.0029782390233832135,0.03333500392601068,0.02886428647474408,YGR087C/YOL086C/YMR250W/YLR044C/YAL012W/YPL111W/YCL064C/YGR019W/YLR231C/YJR148W/YDR380W/YLR142W/YLR134W/YHR208W/YLR438W/YJR078W,16
GO:1901700,response to oxygen-containing compound,23/877,94/6449,0.24468085106382978,1.7992551978456537,3.096694593572262,0.0030584782972845246,0.03399032263719752,0.02943171724673201,YGR088W/YNL036W/YHR055C/YKL071W/YKL062W/YOR391C/YHR008C/YNL134C/YOL052C-A/YBR126C/YFL033C/YKR071C/YHR141C/YGR008C/YJL084C/YER028C/YKR066C/YOR153W/YNL241C/YDL138W/YDR541C/YFL052W/YMR175W,23
GO:0009080,pyruvate family amino acid catabolic process,7/877,16/6449,0.4375,3.217146522234892,3.52252730026075,0.003139420676453562,0.03464417042255445,0.029997874365816465,YGR087C/YOL086C/YLR044C/YJR148W/YDR380W/YLR134W/YHR208W,7
GO:0042221,response to chemical,85/877,473/6449,0.17970401691331925,1.3214494926727434,2.88101008041995,0.003217127132284914,0.03525341409993329,0.030525409448032788,YGR088W/YNL036W/YHR055C/YDR406W/YKR034W/YJL034W/YMR250W/YJR096W/YKL071W/YJR138W/YKR076W/YKL062W/YHR205W/YOR391C/YHR008C/YNL134C/YGR234W/YHL027W/YOR173W/YGR023W/YMR184W/YER124C/YOL052C-A/YCR032W/YPL230W/YER132C/YBR126C/YFL033C/YJR066W/YKR071C/YDL022W/YLR104W/YHR104W/YHR141C/YGR043C/YPL187W/YCR102C/YHR183W/YLR364W/YNL234W/YDL020C/YGR008C/YJL084C/YCL026C-B/YFR022W/YDR011W/YOL002C/YNL264C/YBR239C/YER028C/YOR380W/YKR066C/YDR135C/YOR153W/YNL241C/YDL138W/YCR091W/YER075C/YCR106W/YLR378C/YPL256C/YJL048C/YCR089W/YDR338C/YDR513W/YLR109W/YKL057C/YNL229C/YCL032W/YCL033C/YJR004C/YCL047C/YCL026C-A/YIL160C/YNL042W/YDR541C/YMR276W/YFL052W/YDL166C/YMR175W/YAR028W/YKR095W-A/YJR086W/YMR070W/YJL157C,85
GO:0009063,amino acid catabolic process,18/877,68/6449,0.2647058823529412,1.9465088201757328,3.1127303959138444,0.0034084507844467345,0.03709057207797245,0.03211617734760117,YGR087C/YOL086C/YMR250W/YLR044C/YAL012W/YPL111W/YCL064C/YGR019W/YLR231C/YJR148W/YDR380W/YLR142W/YLR134W/YHR208W/YLR438W/YJR078W/YLR098C/YDL219W,18
GO:0043648,dicarboxylic acid metabolic process,18/877,69/6449,0.2608695652173913,1.9182985474195626,3.042319776462883,0.004040753401357957,0.043508730194429114,0.03767356545905292,YPL262W/YOL126C/YMR250W/YGL062W/YGR019W/YLR174W/YPR035W/YLR231C/YNL037C/YOR375C/YDR354W/YLR142W/YFR049W/YGL148W/YBR084W/YKR080W/YLR438W/YPL017C,18
GO:0000302,response to reactive oxygen species,9/877,25/6449,0.36,2.6472519954389964,3.2736635112782317,0.0040537808604892474,0.043508730194429114,0.03767356545905292,YGR088W/YHR055C/YKL062W/YHR008C/YOL052C-A/YFL033C/YKR071C/YKR066C/YNL241C,9
GO:0170033,L-amino acid metabolic process,35/877,165/6449,0.21212121212121213,1.5598286168411597,2.8899194352041646,0.0042326338264040775,0.04511930072091965,0.03906813463827322,YGR087C/YOL086C/YMR250W/YLR044C/YLR303W/YAL012W/YGL062W/YPL111W/YCL064C/YGR019W/YLR174W/YPR035W/YER052C/YLR231C/YPR167C/YCL018W/YNL037C/YKL001C/YOR375C/YMR009W/YOL058W/YJR148W/YDR380W/YDR354W/YLR142W/YGR124W/YLR134W/YJL200C/YLL062C/YIL074C/YER055C/YHR208W/YLR438W/YIR017C/YJR078W,35
GO:0022900,electron transport chain,13/877,44/6449,0.29545454545454547,2.1726184306001866,3.0962088261792533,0.004423492495896821,0.046835221223448104,0.040553924802354216,YMR118C/YLR164W/YLR038C/YIL111W/YDR529C/YJR048W/YDL067C/YJL166W/YNL052W/YLR395C/YMR256C/YOR356W/YPL252C,13
GO:0006097,glyoxylate cycle,6/877,13/6449,0.46153846153846156,3.3939128146653803,3.4275101154378933,0.004549529409946561,0.04752741723590841,0.04115328708365696,YOL126C/YLR174W/YCL018W/YER065C/YJL200C/YLR304C,6
GO:0006574,L-valine catabolic process,6/877,13/6449,0.46153846153846156,3.3939128146653803,3.4275101154378933,0.004549529409946561,0.04752741723590841,0.04115328708365696,YGR087C/YOL086C/YLR044C/YJR148W/YLR134W/YHR208W,6
GO:0009311,oligosaccharide metabolic process,10/877,30/6449,0.3333333333333333,2.451159255036108,3.160448899299496,0.004708372446293218,0.04864738059884648,0.042123046781925313,YDR074W/YKL035W/YBR299W/YPR026W/YBR126C/YML100W/YIL162W/YBR297W/YGR287C/YGR292W,10
GO:0140115,export across plasma membrane,7/877,17/6449,0.4117647058823529,3.027902609162251,3.3212784991592392,0.004718826963002339,0.04864738059884648,0.042123046781925313,YDR406W/YNL065W/YGL008C/YBR043C/YDR011W/YOR153W/YDR338C,7
